Partis politiques,Total période (durée),Nom du media,Type de media,Durée en seconde,Durée en minute,Temps total,Taux temps de parole,Durée en heure,proprio du media
Divers Droite,00:00:01,FranceCulture,radio,1,0.016666666666666666,4037,0.024770869457517955,0.0002777777777777778,Groupe Radio France
Horizons,00:00:13,FranceCulture,radio,13,0.21666666666666667,4037,0.32202130294773346,0.003611111111111111,Groupe Radio France
La France insoumise,00:05:14,FranceCulture,radio,314,5.233333333333333,4037,7.778053009660639,0.08722222222222223,Groupe Radio France
Les Ecologistes,00:00:49,FranceCulture,radio,49,0.8166666666666667,4037,1.21377260341838,0.01361111111111111,Groupe Radio France
Les Républicains,00:03:00,FranceCulture,radio,180,3.0,4037,4.458756502353232,0.05,Groupe Radio France
Mouvement démocrate,00:00:25,FranceCulture,radio,25,0.4166666666666667,4037,0.619271736437949,0.006944444444444444,Groupe Radio France
Parti communiste français,00:00:18,FranceCulture,radio,18,0.3,4037,0.4458756502353232,0.005,Groupe Radio France
Parti socialiste,00:16:20,FranceCulture,radio,980,16.333333333333332,4037,24.2754520683676,0.2722222222222222,Groupe Radio France
Place publique,00:00:26,FranceCulture,radio,26,0.43333333333333335,4037,0.6440426058954669,0.007222222222222222,Groupe Radio France
Rassemblement national,00:32:42,FranceCulture,radio,1962,32.7,4037,48.60044587565023,0.545,Groupe Radio France
Reconquête,00:01:22,FranceCulture,radio,82,1.3666666666666667,4037,2.0312112955164725,0.02277777777777778,Groupe Radio France
Renaissance,00:03:14,FranceCulture,radio,194,3.2333333333333334,4037,4.805548674758485,0.05388888888888889,Groupe Radio France
temps_president,00:03:13,FranceCulture,radio,193,3.216666666666667,4037,4.780777805300966,0.05361111111111111,Groupe Radio France
Debout la France,00:14:27,Cnews,TV info continue,867,14.45,53538,1.6194105121595876,0.24083333333333334,canal+
Divers Centre,00:11:10,Cnews,TV info continue,670,11.166666666666666,53538,1.2514475699503158,0.18611111111111112,canal+
Divers Gauche,00:01:40,Cnews,TV info continue,100,1.6666666666666667,53538,0.18678321939556952,0.027777777777777776,canal+
Horizons,00:11:57,Cnews,TV info continue,717,11.95,53538,1.3392356830662333,0.19916666666666666,canal+
La France insoumise,01:04:01,Cnews,TV info continue,3841,64.01666666666667,53538,7.1743434569838245,1.0669444444444445,canal+
Les Ecologistes,00:18:40,Cnews,TV info continue,1120,18.666666666666668,53538,2.0919720572303784,0.3111111111111111,canal+
Les Républicains,03:09:39,Cnews,TV info continue,11379,189.65,53538,21.254062535021852,3.160833333333333,canal+
Parti communiste français,00:26:44,Cnews,TV info continue,1604,26.733333333333334,53538,2.9960028391049347,0.44555555555555554,canal+
Parti socialiste,00:50:40,Cnews,TV info continue,3040,50.666666666666664,53538,5.678209869625313,0.8444444444444444,canal+
Place publique,00:10:55,Cnews,TV info continue,655,10.916666666666666,53538,1.2234300870409802,0.18194444444444444,canal+
Rassemblement national,02:26:47,Cnews,TV info continue,8807,146.78333333333333,53538,16.449998132167806,2.446388888888889,canal+
Reconquête,00:51:20,Cnews,TV info continue,3080,51.333333333333336,53538,5.752923157383541,0.8555555555555555,canal+
Renaissance,03:23:13,Cnews,TV info continue,12193,203.21666666666667,53538,22.77447794090179,3.3869444444444445,canal+
temps_president,01:31:05,Cnews,TV info continue,5465,91.08333333333333,53538,10.207702939967874,1.5180555555555555,canal+
Debout la France,00:12:47,Europe1,radio,767,12.783333333333333,31323,2.448679883791463,0.21305555555555555,Groupe Lagardère
Divers Centre,00:07:49,Europe1,radio,469,7.816666666666666,31323,1.4973023018229417,0.13027777777777777,Groupe Lagardère
Horizons,00:01:42,Europe1,radio,102,1.7,31323,0.3256393065798295,0.028333333333333332,Groupe Lagardère
La France insoumise,00:43:25,Europe1,radio,2605,43.416666666666664,31323,8.316572486671136,0.7236111111111111,Groupe Lagardère
Les Ecologistes,00:06:11,Europe1,radio,371,6.183333333333334,31323,1.1844331641285957,0.10305555555555555,Groupe Lagardère
Les Républicains,03:05:17,Europe1,radio,11117,185.28333333333333,31323,35.49149187498005,3.0880555555555556,Groupe Lagardère
Parti communiste français,00:05:01,Europe1,radio,301,5.016666666666667,31323,0.9609552086326343,0.08361111111111111,Groupe Lagardère
Parti socialiste,00:14:59,Europe1,radio,899,14.983333333333333,31323,2.8700954570124186,0.24972222222222223,Groupe Lagardère
Place publique,00:03:24,Europe1,radio,204,3.4,31323,0.651278613159659,0.056666666666666664,Groupe Lagardère
Rassemblement national,01:24:02,Europe1,radio,5042,84.03333333333333,31323,16.096797880151964,1.4005555555555556,Groupe Lagardère
Reconquête,00:09:29,Europe1,radio,569,9.483333333333333,31323,1.8165565239600292,0.15805555555555556,Groupe Lagardère
Renaissance,02:12:15,Europe1,radio,7935,132.25,31323,25.332822526577914,2.2041666666666666,Groupe Lagardère
Union des démocrates et indépendants,00:00:11,Europe1,radio,11,0.18333333333333332,31323,0.035117964435079654,0.0030555555555555557,Groupe Lagardère
temps_president,00:15:31,Europe1,radio,931,15.516666666666667,31323,2.972256808096287,0.2586111111111111,Groupe Lagardère
EQUINOXE,00:00:06,TF1,TV généraliste,6,0.1,6649,0.09023913370431644,0.0016666666666666668,Groupe TF1
Horizons,00:00:29,TF1,TV généraliste,29,0.48333333333333334,6649,0.4361558129041961,0.008055555555555555,Groupe TF1
La France insoumise,00:04:20,TF1,TV généraliste,260,4.333333333333333,6649,3.9103624605203793,0.07222222222222222,Groupe TF1
Les Ecologistes,00:04:56,TF1,TV généraliste,296,4.933333333333334,6649,4.451797262746278,0.08222222222222222,Groupe TF1
Les Républicains,00:25:47,TF1,TV généraliste,1547,25.783333333333335,6649,23.266656640096254,0.4297222222222222,Groupe TF1
Mouvement démocrate,00:00:24,TF1,TV généraliste,24,0.4,6649,0.36095653481726575,0.006666666666666667,Groupe TF1
Parti communiste français,00:03:22,TF1,TV généraliste,202,3.3666666666666667,6649,3.038050834711987,0.05611111111111111,Groupe TF1
Parti socialiste,00:17:20,TF1,TV généraliste,1040,17.333333333333332,6649,15.641449842081517,0.28888888888888886,Groupe TF1
Place publique,00:00:31,TF1,TV généraliste,31,0.5166666666666667,6649,0.46623552413896824,0.008611111111111111,Groupe TF1
Rassemblement national,00:25:32,TF1,TV généraliste,1532,25.533333333333335,6649,23.041058805835462,0.4255555555555556,Groupe TF1
Reconquête,00:00:23,TF1,TV généraliste,23,0.38333333333333336,6649,0.3459166791998797,0.006388888888888889,Groupe TF1
Renaissance,00:25:38,TF1,TV généraliste,1538,25.633333333333333,6649,23.13129793953978,0.4272222222222222,Groupe TF1
RESISTONS,00:00:05,TF1,TV généraliste,5,0.08333333333333333,6649,0.07519927808693036,0.001388888888888889,Groupe TF1
Union des démocrates et indépendants,00:00:10,TF1,TV généraliste,10,0.16666666666666666,6649,0.15039855617386072,0.002777777777777778,Groupe TF1
temps_president,00:01:46,TF1,TV généraliste,106,1.7666666666666666,6649,1.5942246954429238,0.029444444444444443,Groupe TF1
Divers Centre,00:49:08,LCI,TV info continue,2948,49.13333333333333,124417,2.369451120023791,0.8188888888888889,Groupe TF1
Divers Droite,01:12:12,LCI,TV info continue,4332,72.2,124417,3.4818392984881488,1.2033333333333334,Groupe TF1
Divers Gauche,00:03:52,LCI,TV info continue,232,3.8666666666666667,124417,0.186469694655875,0.06444444444444444,Groupe TF1
Génération.s,00:18:14,LCI,TV info continue,1094,18.233333333333334,124417,0.879301060144514,0.3038888888888889,Groupe TF1
Horizons,01:33:24,LCI,TV info continue,5604,93.4,124417,4.504207624360015,1.5566666666666666,Groupe TF1
La France insoumise,04:20:28,LCI,TV info continue,15628,260.46666666666664,124417,12.560984431387995,4.341111111111111,Groupe TF1
Les Ecologistes,01:06:56,LCI,TV info continue,4016,66.93333333333334,124417,3.227854714387905,1.1155555555555556,Groupe TF1
Les Républicains,06:06:02,LCI,TV info continue,21962,366.03333333333336,124417,17.651928594966925,6.100555555555555,Groupe TF1
Mouvement démocrate,01:25:16,LCI,TV info continue,5116,85.26666666666667,124417,4.111978266635588,1.4211111111111112,Groupe TF1
Parti communiste français,00:30:16,LCI,TV info continue,1816,30.266666666666666,124417,1.4596076098925388,0.5044444444444445,Groupe TF1
Parti socialiste,02:23:12,LCI,TV info continue,8592,143.2,124417,6.905808691738267,2.3866666666666667,Groupe TF1
Place publique,00:08:28,LCI,TV info continue,508,8.466666666666667,124417,0.4083043314016573,0.1411111111111111,Groupe TF1
Rassemblement national,08:45:06,LCI,TV info continue,31506,525.1,124417,25.322906033741372,8.751666666666667,Groupe TF1
Reconquête,00:25:31,LCI,TV info continue,1531,25.516666666666666,124417,1.2305392349920028,0.42527777777777775,Groupe TF1
Renaissance,03:30:46,LCI,TV info continue,12646,210.76666666666668,124417,10.164205856112911,3.512777777777778,Groupe TF1
temps_president,01:54:46,LCI,TV info continue,6886,114.76666666666667,124417,5.5346134370704965,1.9127777777777777,Groupe TF1
Divers Centre,00:00:53,France info TV,TV info continue,53,0.8833333333333333,87658,0.060462251021013484,0.014722222222222222,France Télévisions
Divers Droite,00:11:53,France info TV,TV info continue,713,11.883333333333333,87658,0.8133883958109928,0.19805555555555557,France Télévisions
Fédération progressiste,00:00:41,France info TV,TV info continue,41,0.6833333333333333,87658,0.04677268475210477,0.01138888888888889,France Télévisions
Horizons,01:20:42,France info TV,TV info continue,4842,80.7,87658,5.523739989504666,1.345,France Télévisions
La France insoumise,03:37:52,France info TV,TV info continue,13072,217.86666666666667,87658,14.91250085559789,3.631111111111111,France Télévisions
Les Ecologistes,01:00:36,France info TV,TV info continue,3636,60.6,87658,4.14793857947934,1.01,France Télévisions
Les Républicains,04:29:17,France info TV,TV info continue,16157,269.28333333333336,87658,18.431860183896507,4.4880555555555555,France Télévisions
Mouvement démocrate,00:23:47,France info TV,TV info continue,1427,23.783333333333335,87658,1.6279175888110613,0.3963888888888889,France Télévisions
Parti communiste français,00:25:37,France info TV,TV info continue,1537,25.616666666666667,87658,1.753405279609391,0.42694444444444446,France Télévisions
Parti socialiste,02:05:23,France info TV,TV info continue,7523,125.38333333333334,87658,8.582217253416689,2.089722222222222,France Télévisions
Place publique,00:14:16,France info TV,TV info continue,856,14.266666666666667,87658,0.9765223938488216,0.23777777777777778,France Télévisions
Rassemblement national,03:49:56,France info TV,TV info continue,13796,229.93333333333334,87658,15.738438020488719,3.832222222222222,France Télévisions
Reconquête,00:23:54,France info TV,TV info continue,1434,23.9,87658,1.6359031691345913,0.3983333333333333,France Télévisions
Renaissance,04:07:57,France info TV,TV info continue,14877,247.95,87658,16.971639781879578,4.1325,France Télévisions
Union des démocrates et indépendants,00:09:16,France info TV,TV info continue,556,9.266666666666667,87658,0.6342832371261037,0.15444444444444444,France Télévisions
temps_president,01:58:58,France info TV,TV info continue,7138,118.96666666666667,87658,8.143010335622533,1.9827777777777778,France Télévisions
Agir,00:06:07,FranceInfo,radio,367,6.116666666666666,55619,0.6598464553479926,0.10194444444444445,Groupe Radio France
Divers Centre,00:21:09,FranceInfo,radio,1269,21.15,55619,2.281594419173304,0.3525,Groupe Radio France
Fédération progressiste,00:33:45,FranceInfo,radio,2025,33.75,55619,3.6408421582552726,0.5625,Groupe Radio France
Horizons,00:12:15,FranceInfo,radio,735,12.25,55619,1.3214908574408026,0.20416666666666666,Groupe Radio France
La France insoumise,01:55:43,FranceInfo,radio,6943,115.71666666666667,55619,12.483144249267337,1.928611111111111,Groupe Radio France
Les Centristes,00:03:35,FranceInfo,radio,215,3.5833333333333335,55619,0.38655855013574497,0.059722222222222225,Groupe Radio France
Les Ecologistes,00:55:00,FranceInfo,radio,3300,55.0,55619,5.933224257897481,0.9166666666666666,Groupe Radio France
Les Républicains,02:41:51,FranceInfo,radio,9711,161.85,55619,17.45986083892195,2.6975,Groupe Radio France
Mouvement démocrate,00:12:26,FranceInfo,radio,746,12.433333333333334,55619,1.3412682716337943,0.20722222222222222,Groupe Radio France
Parti communiste français,00:53:40,FranceInfo,radio,3220,53.666666666666664,55619,5.789388518312088,0.8944444444444445,Groupe Radio France
Parti socialiste,01:13:49,FranceInfo,radio,4429,73.81666666666666,55619,7.963106132796346,1.2302777777777778,Groupe Radio France
Place publique,00:01:27,FranceInfo,radio,87,1.45,55619,0.15642136679911542,0.024166666666666666,Groupe Radio France
Rassemblement national,02:48:10,FranceInfo,radio,10090,168.16666666666666,55619,18.141282655207753,2.8027777777777776,Groupe Radio France
Reconquête,00:05:14,FranceInfo,radio,314,5.233333333333333,55619,0.5645552778726695,0.08722222222222223,Groupe Radio France
Renaissance,02:15:09,FranceInfo,radio,8109,135.15,55619,14.579550153724446,2.2525,Groupe Radio France
Union des démocrates et indépendants,00:06:02,FranceInfo,radio,362,6.033333333333333,55619,0.6508567216239055,0.10055555555555555,Groupe Radio France
temps_president,01:01:37,FranceInfo,radio,3697,61.61666666666667,55619,6.647009115589997,1.0269444444444444,Groupe Radio France
Divers Centre,00:22:11,BFMTV,TV info continue,1331,22.183333333333334,145993,0.9116875466631962,0.36972222222222223,Altice
Divers Droite,01:21:29,BFMTV,TV info continue,4889,81.48333333333333,145993,3.3487906954443023,1.3580555555555556,Altice
Divers Gauche,00:13:29,BFMTV,TV info continue,809,13.483333333333333,145993,0.554136157213017,0.2247222222222222,Altice
Génération.s,00:10:59,BFMTV,TV info continue,659,10.983333333333333,145993,0.451391505072161,0.18305555555555555,Altice
Horizons,00:52:01,BFMTV,TV info continue,3121,52.016666666666666,145993,2.137773728877412,0.8669444444444444,Altice
La France insoumise,05:04:51,BFMTV,TV info continue,18291,304.85,145993,12.528682882055989,5.0808333333333335,Altice
Les Ecologistes,01:53:40,BFMTV,TV info continue,6820,113.66666666666667,145993,4.671456850670923,1.8944444444444444,Altice
Les Républicains,05:33:50,BFMTV,TV info continue,20030,333.8333333333333,145993,13.719835882542315,5.563888888888889,Altice
Mouvement démocrate,00:24:03,BFMTV,TV info continue,1443,24.05,145993,0.9884035535950355,0.4008333333333333,Altice
Nouveau parti anticapitaliste,00:21:08,BFMTV,TV info continue,1268,21.133333333333333,145993,0.8685347927640367,0.3522222222222222,Altice
Parti communiste français,01:36:39,BFMTV,TV info continue,5799,96.65,145993,3.972108251765496,1.6108333333333333,Altice
Parti socialiste,05:17:21,BFMTV,TV info continue,19041,317.35,145993,13.042406142760269,5.289166666666667,Altice
Place publique,00:08:31,BFMTV,TV info continue,511,8.516666666666667,145993,0.35001678162651634,0.14194444444444446,Altice
Rassemblement national,07:09:07,BFMTV,TV info continue,25747,429.1166666666667,145993,17.63577705780414,7.151944444444444,Altice
Reconquête,00:44:16,BFMTV,TV info continue,2656,44.266666666666666,145993,1.8192653072407579,0.7377777777777778,Altice
Renaissance,06:30:37,BFMTV,TV info continue,23437,390.6166666666667,145993,16.053509414834956,6.510277777777778,Altice
Union des démocrates et indépendants,00:10:17,BFMTV,TV info continue,617,10.283333333333333,145993,0.4226230024727213,0.1713888888888889,Altice
temps_president,02:38:44,BFMTV,TV info continue,9524,158.73333333333332,145993,6.523600446596754,2.6455555555555557,Altice
Horizons,00:01:11,France24,TV info continue,71,1.1833333333333333,18281,0.38838137957442154,0.01972222222222222,France media Monde
La France insoumise,00:33:58,France24,TV info continue,2038,33.96666666666667,18281,11.148186641868607,0.5661111111111111,France media Monde
Les Ecologistes,00:18:15,France24,TV info continue,1095,18.25,18281,5.989825501887205,0.30416666666666664,France media Monde
Les Républicains,01:02:30,France24,TV info continue,3750,62.5,18281,20.51310103386029,1.0416666666666667,France media Monde
Mouvement démocrate,00:04:22,France24,TV info continue,262,4.366666666666666,18281,1.4331819922323723,0.07277777777777777,France media Monde
Parti communiste français,00:06:05,France24,TV info continue,365,6.083333333333333,18281,1.9966085006290686,0.10138888888888889,France media Monde
Parti socialiste,00:28:39,France24,TV info continue,1719,28.65,18281,9.403205513921558,0.4775,France media Monde
Place publique,00:00:54,France24,TV info continue,54,0.9,18281,0.2953886548875882,0.015,France media Monde
Rassemblement national,00:29:21,France24,TV info continue,1761,29.35,18281,9.632952245500794,0.4891666666666667,France media Monde
Reconquête,00:10:39,France24,TV info continue,639,10.65,18281,3.4954324161697934,0.1775,France media Monde
Renaissance,00:12:51,France24,TV info continue,771,12.85,18281,4.217493572561676,0.21416666666666667,France media Monde
temps_president,01:35:56,France24,TV info continue,5756,95.93333333333334,18281,31.486242546906624,1.5988888888888888,France media Monde
